lag_1,lag_2,lag_3,lag_4,lag_96,rolling_std_4,bot_score
0.839297,0.825154,0.819995,0.834563,0.841862,0.008622515603540585,0.822574
0.822574,0.839297,0.825154,0.819995,0.837006,0.018803609996929527,0.794394
0.794394,0.822574,0.839297,0.825154,0.837415,0.01935194234867985,0.829919
0.829919,0.794394,0.822574,0.839297,0.804228,0.023988097192495925,0.85256
0.85256,0.829919,0.794394,0.822574,0.79708,0.029149966613759685,0.858888
0.858888,0.85256,0.829919,0.794394,0.781405,0.01277208522194584,0.8413
0.8413,0.858888,0.85256,0.829919,0.780418,0.01379369633806133,0.827476
0.827476,0.8413,0.858888,0.85256,0.766063,0.01650610807145768,0.821846
0.821846,0.827476,0.8413,0.858888,0.763362,0.008313166905576245,0.833242
0.833242,0.821846,0.827476,0.8413,0.749901,0.016773965370477296,0.859753
0.859753,0.833242,0.821846,0.827476,0.751009,0.017212106715428846,0.851558
0.851558,0.859753,0.833242,0.821846,0.748065,0.011083190891314489,0.848357
0.848357,0.851558,0.859753,0.833242,0.770175,0.006681467771629158,0.843925
0.843925,0.848357,0.851558,0.859753,0.741783,0.007141152305474318,0.835109
0.835109,0.843925,0.848357,0.851558,0.740478,0.006076460722875147,0.837324
0.837324,0.835109,0.843925,0.848357,0.729567,0.006488179013917501,0.828189
0.828189,0.837324,0.835109,0.843925,0.721843,0.003897108244151915,0.833986
0.833986,0.828189,0.837324,0.835109,0.712176,0.011058619232675359,0.812377
0.812377,0.833986,0.828189,0.837324,0.723709,0.011106019163796945,0.81221
0.81221,0.812377,0.833986,0.828189,0.716957,0.010476425165577969,0.814972
0.814972,0.81221,0.812377,0.833986,0.727746,0.01387955430059948,0.84083
0.84083,0.814972,0.81221,0.812377,0.716,0.013005954235783363,0.819205
0.819205,0.84083,0.814972,0.81221,0.962138,0.011328964912998903,0.824365
0.824365,0.819205,0.84083,0.814972,0.899435,0.009636666747375008,0.833728
0.833728,0.824365,0.819205,0.84083,0.886825,0.006420580814845433,0.821254
0.821254,0.833728,0.824365,0.819205,0.871772,0.00938934099124967,0.81095
0.81095,0.821254,0.833728,0.824365,0.877553,0.009454070357961945,0.82523
0.82523,0.81095,0.821254,0.833728,0.85772,0.011742715912426772,0.839312
0.839312,0.82523,0.81095,0.821254,0.863228,0.013280978013684152,0.838174
0.838174,0.839312,0.82523,0.81095,0.863972,0.014432079831055553,0.808355
0.808355,0.838174,0.839312,0.82523,0.852621,0.015054292521845508,0.819403
0.819403,0.808355,0.838174,0.839312,0.842863,0.015795649936505486,0.802179
0.802179,0.819403,0.808355,0.838174,0.844715,0.007189671961683999,0.811906
0.811906,0.802179,0.819403,0.808355,0.831907,0.008527265578716244,0.820753
0.820753,0.811906,0.802179,0.819403,0.827886,0.007600990916757166,0.810647
0.810647,0.820753,0.811906,0.802179,0.83177,0.00835877388835375,0.800343
0.800343,0.810647,0.820753,0.811906,0.83306,0.009286559894095598,0.818781
0.818781,0.800343,0.810647,0.820753,0.840192,0.007583948680159368,0.811466
0.811466,0.818781,0.800343,0.810647,0.845155,0.008499599691551665,0.817885
0.817885,0.811466,0.818781,0.800343,0.825624,0.0032603890744247015,0.816307
0.816307,0.817885,0.811466,0.818781,0.833394,0.007399142788185547,0.801466
0.801466,0.816307,0.817885,0.811466,0.821269,0.025771130805611737,0.762512
0.762512,0.801466,0.816307,0.817885,0.831755,0.022825769010410397,0.78837
0.78837,0.762512,0.801466,0.816307,0.825078,0.017901976452800086,0.799417
0.799417,0.78837,0.762512,0.801466,0.83438,0.02590712120087088,0.825002
0.825002,0.799417,0.78837,0.762512,0.821512,0.015376505216290899,0.806307
0.806307,0.825002,0.799417,0.78837,0.826975,0.01138075294814122,0.80312
0.80312,0.806307,0.825002,0.799417,0.845382,0.009932290886294066,0.806792
0.806792,0.80312,0.806307,0.825002,0.835412,0.0027294128031418326,0.801026
0.801026,0.806792,0.80312,0.806307,0.832742,0.0032730347156657764,0.799159
0.799159,0.801026,0.806792,0.80312,0.849965,0.004043745005143237,0.807141
0.807141,0.799159,0.801026,0.806792,0.852484,0.008315856760828896,0.817612
0.817612,0.807141,0.799159,0.801026,0.850071,0.00800269415051124,0.813242
0.813242,0.817612,0.807141,0.799159,0.853637,0.004940481116918519,0.807779
0.807779,0.813242,0.817612,0.807141,0.872287,0.004816086274140218,0.807581
0.807581,0.807779,0.813242,0.817612,0.875338,0.00815965490998023,0.824987
0.824987,0.807581,0.807779,0.813242,0.878175,0.009145863122196925,0.805184
0.805184,0.824987,0.807581,0.807779,0.844153,0.011902393666820043,0.79661
0.79661,0.805184,0.824987,0.807581,0.863274,0.014962874130659646,0.827112
0.827112,0.79661,0.805184,0.824987,0.866658,0.012935768869686833,0.812711
0.812711,0.827112,0.79661,0.805184,0.843667,0.027989610529325186,0.862272
0.862272,0.812711,0.827112,0.79661,0.847234,0.02082318783431883,0.835094
0.835094,0.862272,0.812711,0.827112,0.876203,0.0202649174580931,0.83652
0.83652,0.835094,0.862272,0.812711,0.862591,0.02165357575359456,0.809251
0.809251,0.83652,0.835094,0.862272,0.847127,0.013420116278059866,0.817354
0.817354,0.809251,0.83652,0.835094,0.854851,0.014894171552992592,0.801952
0.801952,0.817354,0.809251,0.83652,0.860588,0.0062958816896419075,0.809008
0.809008,0.801952,0.817354,0.809251,0.846885,0.010880539244447929,0.827187
0.827187,0.809008,0.801952,0.817354,0.867462,0.012872289695309597,0.827233
0.827233,0.827187,0.809008,0.801952,0.852454,0.009798758437508416,0.811679
0.811679,0.827233,0.827187,0.809008,0.865595,0.009526706194516694,0.809842
0.809842,0.811679,0.827233,0.827187,0.85734,0.007877166770692879,0.818432
0.818432,0.809842,0.811679,0.827233,0.90329,0.006185768255976043,0.823242
0.823242,0.818432,0.809842,0.811679,0.857659,0.006139438648332673,0.811891
0.811891,0.823242,0.818432,0.809842,0.867553,0.009094772656127582,0.833485
0.833485,0.811891,0.823242,0.818432,0.861119,0.010468834203640628,0.834153
0.834153,0.833485,0.811891,0.823242,0.85256,0.022533401252362882,0.866551
0.866551,0.834153,0.833485,0.811891,0.849009,0.016685249253956633,0.832043
0.832043,0.866551,0.834153,0.833485,0.866809,0.023658771289242198,0.87948
0.87948,0.832043,0.866551,0.834153,0.849176,0.05202171324232499,0.955386
0.955386,0.87948,0.832043,0.866551,0.858099,0.05799568278400878,0.94493
0.94493,0.955386,0.87948,0.832043,0.846247,0.03465595653828344,0.943655
0.943655,0.94493,0.955386,0.87948,0.862424,0.008602957141785763,0.934368
0.934368,0.943655,0.94493,0.955386,0.836444,0.004984385552242124,0.937707
0.937707,0.934368,0.943655,0.94493,0.837855,0.016068157755845167,0.907372
0.907372,0.937707,0.934368,0.943655,0.806823,0.0213925423200871,0.893426
0.893426,0.907372,0.937707,0.934368,0.841634,0.019291179348777856,0.901803
0.901803,0.893426,0.907372,0.937707,0.851695,0.009458927048915792,0.915916
0.915916,0.901803,0.893426,0.907372,0.864548,0.009674139802417056,0.898252
0.898252,0.915916,0.901803,0.893426,0.85731,0.01736534373160259,0.874124
0.874124,0.898252,0.915916,0.901803,0.84954,0.018224314555012545,0.883654
0.883654,0.874124,0.898252,0.915916,0.82564,0.012581911924135743,0.900816
0.900816,0.883654,0.874124,0.898252,0.834563,0.012883700348374634,0.899466
0.899466,0.900816,0.883654,0.874124,0.819995,0.00899477560865426,0.885657
